Name,Formula
Allargentum,Ag1-xSbx   (x ≈ 0.09-0.16)
Alleghanyite,Mn2+5(SiO4)2(OH)2
Allendeite,Sc4Zr3O12
Allochalcoselite,Cu1+Cu2+5PbO2(SeO3)2Cl5
Alloclasite,CoAsS
Allophane,Al2O3(SiO2)1.3-2.0·2.5-3.0H2O
Alloriite,"(Na,K,Ca)24(Na,Ca)4Ca4(Si,Al)48O96(SO4)4  (SO3,CO3)2(OH,Cl)2(H2O,OH)4"
Alluaivite,"Na19(Ca,Mn2+)6(Ti,Nb)3Si26O74Cl·2H2O"
Alluaudite,☐NaMnFe3+2(PO4)3
Almagreraite,CuZnMn4+3O8
Almandine,Fe2+3Al2(SiO4)3
Almarudite,"K(☐,Na)2(Mn,Fe,Mg)2[(Be,Al)3Si12]O30"
Almeidaite,"PbZn2(Mn,Y)(Ti,Fe3+)18O36(OH,O)2"
Alnaperbøeite-(Ce),(CaCe2.5Na0.5)(Al4)(Si2O7)(SiO4)3O(OH)2
Alpeite,Ca4Mn3+2Al2(Mn3+Mg)(SiO4)2(Si3O10)(VO4)(OH)6
Alpersite,Mg(SO4)(H2O)6·H2O
Alsakharovite-Zn,"NaSrKZn(Ti,Nb)4(Si4O12)2(O,OH)4·7H2O"
Alstonite,BaCa(CO3)2
Altaite,PbTe
Alterite,Zn2Fe3+4(SO4)4(C2O4)2(OH)4(H2O)12·5H2O
Althausite,"Mg4(PO4)2(OH,O)(F,☐)"
Althupite,AlTh(UO2)7(PO4)4O2(OH)5(H2O)8·7H2O
Altisite,Na3K6Ti2Al2Si8O26Cl3
Alum-(K),KAl(SO4)2(H2O)12
Alum-(Na),NaAl(SO4)2(H2O)12
Aluminite,Al2(SO4)(OH)4(H2O)3·4H2O
Aluminium,Al
Aluminoceladonite,"K(Mg,Fe2+)Al(Si4O10)(OH)2"
Aluminocerite-(CeCa),(Ce6Ca3)☐Al(SiO4)3(SiO3OH)4(OH)3
Aluminocopiapite,"(Al,Mg)Fe3+4(SO4)6(OH,O)2(H2O)14·6H2O"
Aluminocoquimbite,Al2Fe3+2(SO4)6(H2O)12·6H2O
Aluminomagnesiohulsite,Mg2AlO2(BO3)
Alumino-oxy-rossmanite,☐Al3Al6(Si5AlO18)(BO3)3(OH)3O
Aluminopyracmonite,(NH4)3Al(SO4)3
Aluminosugilite,KNa2Al2Li3Si12O30
Aluminotaipingite-(CeCa),(Ce6Ca3)Al(SiO4)3[SiO3(OH)]4F3
Alumoåkermanite,"(Ca,Na)2(Al,Mg,Fe2+)(Si2O7)"
Alumoedtollite,K2NaCu5AlO2(AsO4)4
Alumohydrocalcite,CaAl2(CO3)2(OH)4(H2O)3·H2O
Alumoklyuchevskite,K3Cu2+3AlO2(SO4)4
Alumolukrahnite,CaCu2+Al(AsO4)2(OH)(H2O)
Alumotantite,AlTaO4
Alumovesuvianite,Ca19Al(Al10Mg2)Si18O69(OH)9
Alunite,KAl3(SO4)2(OH)6
Alunogen,Al2(SO4)3(H2O)12·5H2O
Alvanite,ZnAl4(V5+O3)2(OH)12(H2O)2
Alvesite,NaKZrSi6O15(H2O)2
Alwilkinsite-(Y),Y(UO2)3(SO4)2O(OH)3(H2O)7·7H2O
Amableite-(Ce),Na15[(Ce1.5Na1.5)Mn3]Mn2Zr3☐Si[Si24O69(OH)3]   (OH)2·H2O
Amakinite,Fe(OH)2
Amamoorite,CaMn2+2Mn3+(Si2O7)O(OH)
Amarantite,Fe3+2O(SO4)2(H2O)4·3H2O
Amarillite,NaFe3+(SO4)2(H2O)6
Amaterasuite,Sr4Ti6Si4O23(OH)Cl
Amblygonite,LiAl(PO4)F
Ambrinoite,"[K,(NH4)]2(As,Sb)6(Sb,As)2S13(H2O)"
Ameghinite,NaB3O3(OH)4
Amesite,Mg2Al(AlSiO5)(OH)4
Amgaite,Tl3+2Te6+O6
Amicite,K2Na2(Al4Si4O16)·5H2O
Aminoffite,Ca3(BeOH)2Si3O10
Ammineite,CuCl2·2NH3
Ammonioalunite,(NH4)Al3(SO4)2(OH)6
Ammonioborite,(NH4)3B15O20(OH)8(H2O)4
Ammoniojarosite,(NH4)Fe3+3(SO4)2(OH)6
Ammoniolasalite,[(NH4)2Mg2(H2O)20]·[V10O28]
Ammonioleucite,(NH4)(AlSi2O6)
Ammoniomagnesiovoltaite,(NH4)2Mg5Fe3+3Al(SO4)12(H2O)18
Ammoniomathesiusite,(NH4)5(UO2)4(SO4)4(VO5)(H2O)4
Ammoniotinsleyite,(NH4)Al2(PO4)2(OH)·2H2O)2
Ammoniovoltaite,(NH4)2Fe2+5Fe3+3Al(SO4)12(H2O)18
Ammoniozippeite,(NH4)2[(UO2)2(SO4)O2](H2O)
Amoraite,Ca12Al6(OH)36(CO3)2(SO3)·15H2O
Amstallite,"CaAl[(Al,Si)4O8(OH)2](OH)2(H2O,Cl)"
Amurselite,(NH4)2(UO2)5(SeO3)3O2(OH)2(H2O)·8H2O
Analcime,Na(AlSi2O6)·H2O
Anandite,BaFe2+3(Si3Fe3+)O10S(OH)
Anapaite,Ca2Fe2+(PO4)2(H2O)4
Anastasenkoite,CaFe2+P2O7
Anatase,TiO2
Anatolygurbanovite,SrCa2Si3O9
Anatolyite,"Na6(Ca,Na)(Mg,Fe3+)3Al(AsO4)6"
Ancylite-(Ce),CeSr(CO3)2(OH)(H2O)
Ancylite-(La),LaSr(CO3)2(OH)(H2O)
Andalusite,Al2SiO5
Andersonite,Na2Ca(UO2)(CO3)3(H2O)6
Andradite,Ca3Fe3+2(SiO4)3
Andreadiniite,CuHgAg7Pb7Sb24S48
Andrémeyerite,BaFe2+2(Si2O7)
Andreybulakhite,Ni(C2O4)(H2O)2
Andreyivanovite,FeCrP
Andrianovite,"Na12(K,Sr,Ce)3Ca6Mn3Zr3Nb(Si25O73)(O,H2O,OH)5"
Andrieslombaardite,RhSbS
Anduoite,RuAs2
Andychristyite,PbCu2+Te6+O5(H2O)
Andymcdonaldite,Fe2TeO6
Andyrobertsite,KCdCu5(AsO4)4[As(OH)2O2](H2O)2
Angarfite,NaFe3+5(PO4)4(OH)4(H2O)4
Angastonite,CaMgAl2(PO4)2(OH)4·7H2O
Ángelaite,Cu2AgPbBiS4
Angelellite,Fe3+4O3(AsO4)2
Anglesite,Pb(SO4)
Anhydrite,Ca(SO4)
Anhydrokainite,KMg(SO4)Cl
Anilite,Cu7S4
Ankerite,"Ca(Fe2+,Mg)(CO3)2"
Ankinovichite,NiAl4(V5+O3)2(OH)12(H2O)2
Annabergite,Ni3(AsO4)2(H2O)8
Anningite-(Ce),(Ca0.5Ce4+0.5)(VO4)
Annite,KFe2+3(AlSi3O10)(OH)2
Annivite-(Zn),Cu6(Cu4Zn2)Bi4S13
Anorpiment,As2S3
Anorthite,Ca(Al2Si2O8)
Anorthominasragrite,V4+O(SO4)(H2O)3·2H2O
Anorthoroselite,Ca2Co(AsO4)2(H2O)2
Anorthoyttrialite-(Y),Y4(SiO4)(Si3O10)
Ansermetite,Mn2+V5+2O6(H2O)2·2H2O
Antarcticite,CaCl2(H2O)6
Anthoinite,AlWO3(OH)3
Anthonyite,Cu(OH)2·3H2O
Anthophyllite,☐Mg2Mg5Si8O22(OH)2
Antigorite,Mg3Si2O5(OH)4
Antimonselite,Sb2Se3
Antimony,Sb
Antipinite,KNa3Cu2(C2O4)4
Antipovite,Cu5O2(PO4)2
Antlerite,Cu2+3(SO4)(OH)4
Antofagastaite,Na2Ca(SO4)2(H2O)1.5
Anyuiite,AuPb2
Anzaite-(Ce),Ce4Fe2+Ti6O18(OH)2
Apachite,Cu2+9Si10O29·11H2O
Apexite,NaMg(PO4)(H2O)8.5·0.5H2O
Aphthitalite,K3Na(SO4)2
Apjohnite,Mn2+Al2(SO4)4(H2O)17·5H2O
Aplowite,Co(SO4)(H2O)4
Apuanite,(Fe2+Fe3+2)(Fe3+2Sb3+4)O12S
Aqualite,"(H3O)8(Na,K,Sr)5Ca6Zr3Si26O66(OH)9Cl"
Aradite,BaCa6[(SiO4)(VO4)](VO4)2F
Aragonite,Ca(CO3)
Arakiite,ZnMn2+12Fe3+2(As3+O3)(As5+O4)2(OH)23
Aramayoite,"Ag3Sb2(Bi,Sb)S6"
Arangasite,Al2(SO4)(PO4)F(H2O)6·3H2O
Arapovite,"(K1-x☐x)(Ca,Na)2U4+Si8O20   [x  ≈ 0.5]"
Aravaipaite,Pb3AlF9(H2O)
Aravaite,Ba2Ca18(SiO4)6[(PO4)3(CO3)]F3O
Arcanite,K2(SO4)
Archerite,H2K(PO4)
Arctite,Ba(Ca7Na5)(PO4)4(PO4)2F3
Arcubisite,Ag6CuBiS4
Ardaite,Pb17Sb15S35Cl9
Ardealite,Ca2(PO3OH)(SO4)·4H2O
Ardennite-(As),Mn2+4Al4(AlMg)(AsO4)(SiO4)2(Si3O10)(OH)6
Ardennite-(V),Mn2+4Al4(AlMg)(VO4)(SiO4)2(Si3O10)(OH)6
Arfvedsonite,NaNa2(Fe2+4Fe3+)Si8O22(OH)2
Argandite,Mn7(VO4)2(OH)8
Argentobaumhauerite,Ag1.5Pb22As33.5S72
Argentodufrénoysite,Ag3Pb26As35S80
Argentojarosite,AgFe3+3(SO4)2(OH)6
Argentoliveingite,Ag3+xPb36-2xAs51+xS112  (0 < x  < 0.5)
Argentopearceite,[Ag9AgS4][Ag6As2S7]
Argentopentlandite,"Ag(Fe,Ni)8S8"
Argentopolybasite,[Ag9AgS4][Ag6Sb2S7]
Argentopyrite,AgFe2S3
Argentotennantite-(Fe),Ag6(Cu4Fe2)As4S13
Argentotennantite-(Zn),Ag6(Cu4Zn2)As4S13
Argentotetrahedrite-(Cd),Ag6(Cu4Cd2)Sb4S13
Argentotetrahedrite-(Fe),Ag6(Cu4Fe2)Sb4S13
Argentotetrahedrite-(Hg),Ag6(Cu4Hg2)Sb4S13
Argentotetrahedrite-(Zn),Ag6(Cu4Zn2)Sb4S13
Argesite,(NH4)7Bi3Cl16
Argutite,GeO2
Argyrodite,Ag8GeS6
Arhbarite,Cu2Mg(AsO4)(OH)3
Ariegilatite,BaCa12(SiO4)4(PO4)2OF2
Arisite-(Ce),NaCe2(CO3)2[F2x(CO3)1-x]F
Arisite-(La),NaLa2(CO3)2[F2x(CO3)1-x]F
Aristarainite,Na2Mg[B6O8(OH)4]2(H2O)4
Armalcolite,"(Mg,Fe2+)Ti2O5"
Armangite,Mn2+26[As3+6(OH)4O14][As3+6O18]2(CO3)
Armbrusterite,Na6K5Mn3+Mn2+14(Si9O22)4(OH)10·4H2O
Armellinoite-(Ce),Ca4Ce4+(AsO4)4(H2O)
Armenite,BaCa2(Al6Si9)O30(H2O)2
Armstrongite,CaZr(Si6O15)(H2O)2
Arrheniusite-(Ce),CaMg[(Ce7Y3)Ca5](SiO4)3(Si3B3O18)(AsO4)(BO3)F11
Arrojadite-(BaNa),BaNa3(NaCa)Fe2+13Al(PO4)11(PO3OH)(OH)2
Arrojadite-(KFe),(KNa)Fe2+(CaNa2)Fe2+13Al(PO4)11(PO3OH)(OH)2
Arrojadite-(KNa),KNa3(CaNa2)Fe2+13Al(PO4)11(PO3OH)(OH)2
Arrojadite-(PbFe),PbFe2+(CaNa2)Fe2+13Al(PO4)11(PO3OH)(OH)2
Arrojadite-(SrFe),SrFe2+(CaNa2)Fe2+13Al(PO4)11(PO3OH)(OH)2
Arsenatrotitanite,NaTiO(AsO4)
Arsenbrackebuschite,"Pb2(Fe3+,Zn)(AsO4)2(OH,H2O)"
Arsendescloizite,PbZn(AsO4)(OH)
Arsenic,As
Arseniopleite,NaCaMnMn2(AsO4)3
Arseniosiderite,Ca2Fe3+3O2(AsO4)3(H2O)2·H2O
Arsenmarcobaldiite,Pb12(As3.2Sb2.8)S21
Arsenmedaite,Mn2+6As5+Si5O18(OH)
Arsenoclasite,Mn2+5(AsO4)2(OH)4
Arsenocrandallite,CaAl3(AsO4)(AsO3OH)(OH)6
Arsenoflorencite-(Ce),CeAl3(AsO4)2(OH)6
Arsenoflorencite-(La),LaAl3(AsO4)2(OH)6
Arsenogoldfieldite,Cu6Cu6(As2Te2)S13
Arsenogorceixite,BaAl3(AsO4)(AsO3OH)(OH)6
Arsenogoyazite,SrAl3(AsO4)(AsO3OH)(OH)6
Arsenohauchecornite,Ni18Bi3AsS16
Arsenohopeite,Zn3(AsO4)2(H2O)4
Arsenolamprite,As
Arsenolite,As2O3
Arsenopalladinite,Pd8As3
Arsenopyrite,FeAsS
Arsenosabugalite,H0.5Al0.5(UO2)2(AsO4)2·8H2O
Arsenotučekite,Ni18Sb3AsS16
Arsenoústalečite,Cu6Cu6(As2Te2)Se13
Arsenovanmeersscheite,U(UO2)3(AsO4)2(OH)6·4H2O
Arsenoveszelyite,Cu2Zn(AsO4)(OH)3(H2O)2
Arsenowagnerite,Mg2(AsO4)F
Arsenquatrandorite,Ag17.6Pb12.8Sb38.1As11.5S96
Arsentsumebite,Pb2Cu(AsO4)(SO4)(OH)
Arsenudinaite,NaMg4(AsO4)3
Arsenuranospathite,Al(UO2)2(AsO4)2F(H2O)5·15H2O
Arsenuranylite,Ca(UO2)4(AsO4)2(OH)4·6H2O
Arsiccioite,AgHg2TlAs2S6
Arsmirandite,Na18Cu12Fe3+O8(AsO4)8Cl5
Arthurite,CuFe3+2(AsO4)2(OH)2(H2O)4
Artinite,Mg2(CO3)(OH)2(H2O)3
Artroeite,PbAlF3(OH)2
Artsmithite,Hg1+4Al(PO4)1.74(OH)1.78
Arupite,Ni3(PO4)2(H2O)8
Arzamastsevite,K6Al5Si6O20(OH)4Cl
